stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
312,2240,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,,43.711112,-79.376375,,,,
313,11677,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,,43.71116,-79.376137,,,,
314,11678,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,,43.711207,-79.375903,,,,
315,11680,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,,43.711252,-79.375677,,,,
316,11681,EGLINTON AVE EAST AT BAYVIEW AVE EAST SIDE,,43.711304,-79.375427,,,,
317,2253,EGLINTON AVE EAST AT BRIMLEY RD WEST SIDE,,43.736651,-79.248758,,,,
318,10467,EGLINTON AVE EAST AT EGLINTON SQ,,43.725114,-79.300488,,,,
319,3538,EGLINTON AVE EAST AT HOLLY ST EAST SIDE,,43.706916,-79.397075,,,,
320,3539,EGLINTON AVE EAST AT KENNEDY STATION,,43.732292,-79.267117,,,,
321,5071,EGLINTON AVE EAST AT LAIRD DR,,43.713371,-79.365371,,,,
323,1036,EGLINTON AVE EAST AT MIDLAND AVE WEST SIDE,,43.734473,-79.258876,,,,
324,9113,EGLINTON AVE EAST AT MT PLEASANT RD EAST SIDE,,43.708511,-79.389255,,,,
325,9114,EGLINTON AVE EAST AT MT PLEASANT RD EAST SIDE,,43.708445,-79.389573,,,,
326,5081,EGLINTON AVE EAST AT YONGE ST (EGLINTON STATION),,43.707057,-79.397259,,,,
327,9111,EGLINTON AVE EAST AT HOLLY ST EAST SIDE,,43.706881,-79.397351,,,,
328,9112,EGLINTON AVE EAST AT HOLLY ST EAST SIDE,,43.7069,-79.397269,,,,
330,11488,EGLINTON AVE WEST AT AVENUE RD EAST SIDE,,43.70464,-79.407957,,,,
331,9897,EGLINTON AVE WEST AT YONGE ST,,43.706455,-79.399436,,,,
332,10222,EGLINTON AVE WEST AT EASTBOURNE AVE EAST SIDE,,43.705374,-79.404464,,,,
333,10224,EGLINTON AVE WEST AT EASTBOURNE AVE,,43.705512,-79.40452,,,,
334,9896,EGLINTON AVE WEST AT EVERDEN RD (EGLINTON WEST STATION),,43.698756,-79.43565,,,,
335,9895,EGLINTON AVE WEST AT EVERDEN RD (EGLINTON WEST STATION),,43.698853,-79.435954,,,,
336,2354,EGLINTON AVE WEST AT GLENARDEN RD,,43.699554,-79.432524,,,,
337,2366,EGLINTON AVE WEST AT JANE ST EAST SIDE,,43.684527,-79.498073,,,,
338,2380,EGLINTON AVE WEST AT MARLEE AVE,,43.698126,-79.439203,,,,
339,13440,EGLINTON AVE WEST AT MARLEE AVE,,43.698176,-79.438961,,,,
340,2388,EGLINTON AVE WEST AT OAKWOOD AVE,,43.697197,-79.442945,,,,
341,11283,EGLINTON AVE WEST AT RENFORTH DR LOOP,,43.664767,-79.588765,,,,
342,9383,EGLINTON AVE EAST AT WESTON RD,,43.686776,-79.489819,,,,
343,2419,EGLINTON AVE WEST AT WESTON RD,,43.687125,-79.489313,,,,
344,9898,EGLINTON AVE WEST AT YONGE ST WEST SIDE,,43.706695,-79.398956,,,,
345,11506,8TH ST AT BIRMINGHAM ST,,43.602776,-79.507259,,,,
346,3543,EIGHTH ST AT LAKE SHORE BLVD WEST NORTH SIDE,,43.60077,-79.506438,,,,
348,10904,ELLESMERE RD AT MIRROW CRT,,43.787272,-79.18517,,,,
349,9622,ELLESMERE RD AT EAST SERVICE RD,,43.767397,-79.273112,,,,
350,9619,ELLESMERE RD AT EAST SERVICE RD,,43.767742,-79.272603,,,,
351,9604,ELLESMERE RD AT MCCOWAN RD EAST SIDE,,43.772266,-79.250482,,,,
352,6368,ELLESMERE RD AT PHARMACY AVE,,43.758897,-79.310467,,,,
353,6372,ELLESMERE RD AT VICTORIA PARK AVE,,43.75812,-79.31473,,,,
354,9621,ELLESMERE RD AT WEST SERVICE RD EAST SIDE,,43.766137,-79.278989,,,,
